;bname;gname;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Start;End;Orientation;Length;Chr
1;b0001;thrL;133.022160067943;-0.110694410248886;0.31647040169714;-0.349778082421812;0.72650524897348;0.862877750971133;190;255;+;66;NC_000913.3
2;b0002;thrA;6323.24112410573;0.143435609855008;0.451066964613707;0.317991830720403;0.750491133682341;0.877814599611722;337;2799;+;2463;NC_000913.3
3;b0003;thrB;3268.3112386623;-0.335429115373735;0.24917375170217;-1.34616552940401;0.178249139147192;0.37235869220824;2801;3733;+;933;NC_000913.3
4;b0004;thrC;3540.4196867933;-0.841342099385677;0.239384944422707;-3.51459905473433;0.000440418386070135;0.00364625454513879;3734;5020;+;1287;NC_000913.3
5;b0005;yaaX;78.2374290134806;0.191896907246504;0.364021232969972;0.527158555232776;0.598083486678453;0.775271411397823;5234;5530;+;297;NC_000913.3
6;b0006;yaaA;439.796497488282;0.495475247293292;0.123137612530966;4.02375226471678;5.72781688320602e-05;0.00064454399179985;5683;6459;-;777;NC_000913.3
7;b0007;yaaJ;587.995365630419;-0.234030968126643;0.136448565442972;-1.71515887592425;0.0863161023207972;0.233078666463399;6529;7959;-;1431;NC_000913.3
8;b0008;talB;16007.3772556858;0.174001884332433;0.163168260390069;1.06639541241946;0.286244934620344;0.496208571922651;8238;9191;+;954;NC_000913.3
9;b0009;mog;557.437788138003;0.399449466896881;0.173542424555028;2.30173957705784;0.0213498628591609;0.0831295358198452;9306;9893;+;588;NC_000913.3
10;b0010;satP;269.018746893624;0.276779714382904;0.158803703602046;1.74290465590463;0.0813502706372878;0.223556252502189;9928;10494;-;567;NC_000913.3
11;b0011;yaaW;14.2975493817151;0.515249754994632;0.379722483487803;1.35691136922416;0.174809373920915;NA;10643;11356;-;714;NC_000913.3
12;b0014;dnaK;14972.4425166255;-0.984637091465374;0.682948612307733;-1.44174404006506;0.14937459470255;0.333685631976718;12163;14079;+;1917;NC_000913.3
13;b0015;dnaJ;3569.172473822;-1.18369044742956;0.558184990508353;-2.12060601334253;0.0339549716669533;0.115735647375185;14168;15298;+;1131;NC_000913.3
14;b0016;insL1;610.575519365467;0.0191758935113401;0.181969448467185;0.105379741890014;0.916074490182257;0.958927480233552;15445;16557;+;1113;NC_000913.3
15;b0019;nhaA;2008.55662248589;-0.0151430409416923;0.317491076951211;-0.0476959575907051;0.961958555813481;0.980695079298715;17489;18655;+;1167;NC_000913.3
16;b0020;nhaR;409.905829447106;0.137866230876724;0.265867713321916;0.518551986452728;0.604073198559272;0.778397711601878;18715;19620;+;906;NC_000913.3
